[ atoms ]
; nr	type	resnr	residu	atom	cgnr	charge	mass
     1       CTL2      1    TOCL2     C3      1     -0.080    12.0110   ; qtot -0.080
     2       HAL2      1    TOCL2   HG31      2      0.090     1.0080   ; qtot  0.010
     3       HAL2      1    TOCL2   HG32      3      0.090     1.0080   ; qtot  0.100
     4         PL      1    TOCL2     P3      4      1.500    30.9740   ; qtot  1.600
     5        O2L      1    TOCL2   OP33      5     -0.780    15.9994   ; qtot  0.820
     6        O2L      1    TOCL2   OP34      6     -0.780    15.9994   ; qtot  0.040
     7       OSLP      1    TOCL2   OP31      7     -0.570    15.9994   ; qtot -0.530
     8       OSLP      1    TOCL2   OP32      8     -0.570    15.9994   ; qtot -1.100
     9       CTL2      1    TOCL2    C31      9     -0.080    12.0110   ; qtot -1.180
    10       HAL2      1    TOCL2   H31J     10      0.090     1.0080   ; qtot -1.090
    11       HAL2      1    TOCL2   H31K     11      0.090     1.0080   ; qtot -1.000
    12       CTL1      1    TOCL2     C2     12      0.140    12.0110   ; qtot -0.860
    13       HAL1      1    TOCL2   HG22     13      0.090     1.0080   ; qtot -0.770
    14        OHL      1    TOCL2   OG12     14     -0.650    15.9994   ; qtot -1.420
    15        HOL      1    TOCL2   HO12     15      0.420     1.0080   ; qtot -1.000
    16       CTL2      1    TOCL2     C1     16     -0.080    12.0110   ; qtot -1.080
    17       HAL2      1    TOCL2   HG11     17      0.090     1.0080   ; qtot -0.990
    18       HAL2      1    TOCL2   HG12     18      0.090     1.0080   ; qtot -0.900
    19         PL      1    TOCL2     P1     19      1.500    30.9740   ; qtot  0.600
    20        O2L      1    TOCL2   OP13     20     -0.780    15.9994   ; qtot -0.180
    21        O2L      1    TOCL2   OP14     21     -0.780    15.9994   ; qtot -0.960
    22       OSLP      1    TOCL2   OP11     22     -0.570    15.9994   ; qtot -1.530
    23       OSLP      1    TOCL2   OP12     23     -0.570    15.9994   ; qtot -2.100
    24       CTL2      1    TOCL2    C11     24     -0.080    12.0110   ; qtot -2.180
    25       HAL2      1    TOCL2   H11J     25      0.090     1.0080   ; qtot -2.090
    26       HAL2      1    TOCL2   H11K     26      0.090     1.0080   ; qtot -2.000
    27       CTL1      1    TOCL2    C12     27      0.170    12.0110   ; qtot -1.830
    28       HAL1      1    TOCL2   H12J     28      0.090     1.0080   ; qtot -1.740
    29        OSL      1    TOCL2    O12     29     -0.490    15.9994   ; qtot -2.230
    30         CL      1    TOCL2    CA1     30      0.900    12.0110   ; qtot -1.330
    31        OBL      1    TOCL2    OA1     31     -0.630    15.9994   ; qtot -1.960
    32       CTL2      1    TOCL2    CA2     32     -0.220    12.0110   ; qtot -2.180
    33       HAL2      1    TOCL2    H2A     33      0.090     1.0080   ; qtot -2.090
    34       HAL2      1    TOCL2    H2B     34      0.090     1.0080   ; qtot -2.000
    35       CTL2      1    TOCL2    C13     35      0.080    12.0110   ; qtot -1.920
    36       HAL2      1    TOCL2   H13J     36      0.090     1.0080   ; qtot -1.830
    37       HAL2      1    TOCL2   H13K     37      0.090     1.0080   ; qtot -1.740
    38        OSL      1    TOCL2    O13     38     -0.490    15.9994   ; qtot -2.230
    39         CL      1    TOCL2    CB1     39      0.900    12.0110   ; qtot -1.330
    40        OBL      1    TOCL2    OB1     40     -0.630    15.9994   ; qtot -1.960
    41       CTL2      1    TOCL2    CB2     41     -0.220    12.0110   ; qtot -2.180
    42       HAL2      1    TOCL2    H2D     42      0.090     1.0080   ; qtot -2.090
    43       HAL2      1    TOCL2    H2E     43      0.090     1.0080   ; qtot -2.000
    44       CTL1      1    TOCL2    C32     44      0.170    12.0110   ; qtot -1.830
    45       HAL1      1    TOCL2   H32J     45      0.090     1.0080   ; qtot -1.740
    46        OSL      1    TOCL2    O32     46     -0.490    15.9994   ; qtot -2.230
    47         CL      1    TOCL2    CC1     47      0.900    12.0110   ; qtot -1.330
    48        OBL      1    TOCL2    OC1     48     -0.630    15.9994   ; qtot -1.960
    49       CTL2      1    TOCL2    CC2     49     -0.220    12.0110   ; qtot -2.180
    50       HAL2      1    TOCL2    H2R     50      0.090     1.0080   ; qtot -2.090
    51       HAL2      1    TOCL2    H2S     51      0.090     1.0080   ; qtot -2.000
    52       CTL2      1    TOCL2    C33     52      0.080    12.0110   ; qtot -1.920
    53       HAL2      1    TOCL2   H33J     53      0.090     1.0080   ; qtot -1.830
    54       HAL2      1    TOCL2   H33K     54      0.090     1.0080   ; qtot -1.740
    55        OSL      1    TOCL2    O33     55     -0.490    15.9994   ; qtot -2.230
    61       CTL2      1    TOCL2    CA3     61     -0.180    12.0110   ; qtot -2.180
    62       HAL2      1    TOCL2    H3A     62      0.090     1.0080   ; qtot -2.090
    63       HAL2      1    TOCL2    H3B     63      0.090     1.0080   ; qtot -2.000
    64       CTL2      1    TOCL2    CA4     64     -0.180    12.0110   ; qtot -2.180
    65       HAL2      1    TOCL2    H4A     65      0.090     1.0080   ; qtot -2.090
    66       HAL2      1    TOCL2    H4B     66      0.090     1.0080   ; qtot -2.000
    67       CTL2      1    TOCL2    CA5     67     -0.180    12.0110   ; qtot -2.180
    68       HAL2      1    TOCL2    H5A     68      0.090     1.0080   ; qtot -2.090
    69       HAL2      1    TOCL2    H5B     69      0.090     1.0080   ; qtot -2.000
    70       CTL2      1    TOCL2    CA6     70     -0.180    12.0110   ; qtot -2.180
    71       HAL2      1    TOCL2    H6A     71      0.090     1.0080   ; qtot -2.090
    72       HAL2      1    TOCL2    H6B     72      0.090     1.0080   ; qtot -2.000
    73       CTL2      1    TOCL2    CA7     73     -0.180    12.0110   ; qtot -2.180
    74       HAL2      1    TOCL2    H7A     74      0.090     1.0080   ; qtot -2.090
    75       HAL2      1    TOCL2    H7B     75      0.090     1.0080   ; qtot -2.000
    76       CTL2      1    TOCL2    CA8     76     -0.180    12.0110   ; qtot -2.180
    77       HAL2      1    TOCL2    H8A     77      0.090     1.0080   ; qtot -2.090
    78       HAL2      1    TOCL2    H8B     78      0.090     1.0080   ; qtot -2.000
    79       CEL1      1    TOCL2    CA9     79     -0.150    12.0110   ; qtot -2.150
    80       HEL1      1    TOCL2    H9A     80      0.150     1.0080   ; qtot -2.000
    81       CEL1      1    TOCL2   CA10     81     -0.150    12.0110   ; qtot -2.150
    82       HEL1      1    TOCL2   H10A     82      0.150     1.0080   ; qtot -2.000
    83       CTL2      1    TOCL2   CA11     83     -0.180    12.0110   ; qtot -2.180
    84       HAL2      1    TOCL2   H11A     84      0.090     1.0080   ; qtot -2.090
    85       HAL2      1    TOCL2   H11B     85      0.090     1.0080   ; qtot -2.000
    86       CTL2      1    TOCL2   CA12     86     -0.180    12.0110   ; qtot -2.180
    87       HAL2      1    TOCL2   H12A     87      0.090     1.0080   ; qtot -2.090
    88       HAL2      1    TOCL2   H12B     88      0.090     1.0080   ; qtot -2.000
    89       CTL2      1    TOCL2   CA13     89     -0.180    12.0110   ; qtot -2.180
    90       HAL2      1    TOCL2   H13A     90      0.090     1.0080   ; qtot -2.090
    91       HAL2      1    TOCL2   H13B     91      0.090     1.0080   ; qtot -2.000
    92       CTL2      1    TOCL2   CA14     92     -0.180    12.0110   ; qtot -2.180
    93       HAL2      1    TOCL2   H14A     93      0.090     1.0080   ; qtot -2.090
    94       HAL2      1    TOCL2   H14B     94      0.090     1.0080   ; qtot -2.000
    95       CTL2      1    TOCL2   CA15     95     -0.180    12.0110   ; qtot -2.180
    96       HAL2      1    TOCL2   H15A     96      0.090     1.0080   ; qtot -2.090
    97       HAL2      1    TOCL2   H15B     97      0.090     1.0080   ; qtot -2.000
    98       CTL2      1    TOCL2   CA16     98     -0.180    12.0110   ; qtot -2.180
    99       HAL2      1    TOCL2   H16A     99      0.090     1.0080   ; qtot -2.090
   100       HAL2      1    TOCL2   H16B    100      0.090     1.0080   ; qtot -2.000
   101       CTL2      1    TOCL2   CA17    101     -0.180    12.0110   ; qtot -2.180
   102       HAL2      1    TOCL2   H17A    102      0.090     1.0080   ; qtot -2.090
   103       HAL2      1    TOCL2   H17B    103      0.090     1.0080   ; qtot -2.000
   104       CTL3      1    TOCL2   CA18    104     -0.270    12.0110   ; qtot -2.270
   105       HAL3      1    TOCL2   H18A    105      0.090     1.0080   ; qtot -2.180
   106       HAL3      1    TOCL2   H18B    106      0.090     1.0080   ; qtot -2.090
   107       HAL3      1    TOCL2   H18C    107      0.090     1.0080   ; qtot -2.000
   108       CTL2      1    TOCL2    CB3    108     -0.180    12.0110   ; qtot -2.180
   109       HAL2      1    TOCL2    H3D    109      0.090     1.0080   ; qtot -2.090
   110       HAL2      1    TOCL2    H3E    110      0.090     1.0080   ; qtot -2.000
   111       CTL2      1    TOCL2    CB4    111     -0.180    12.0110   ; qtot -2.180
   112       HAL2      1    TOCL2    H4D    112      0.090     1.0080   ; qtot -2.090
   113       HAL2      1    TOCL2    H4E    113      0.090     1.0080   ; qtot -2.000
   114       CTL2      1    TOCL2    CB5    114     -0.180    12.0110   ; qtot -2.180
   115       HAL2      1    TOCL2    H5D    115      0.090     1.0080   ; qtot -2.090
   116       HAL2      1    TOCL2    H5E    116      0.090     1.0080   ; qtot -2.000
   117       CTL2      1    TOCL2    CB6    117     -0.180    12.0110   ; qtot -2.180
   118       HAL2      1    TOCL2    H6D    118      0.090     1.0080   ; qtot -2.090
   119       HAL2      1    TOCL2    H6E    119      0.090     1.0080   ; qtot -2.000
   120       CTL2      1    TOCL2    CB7    120     -0.180    12.0110   ; qtot -2.180
   121       HAL2      1    TOCL2    H7D    121      0.090     1.0080   ; qtot -2.090
   122       HAL2      1    TOCL2    H7E    122      0.090     1.0080   ; qtot -2.000
   123       CTL2      1    TOCL2    CB8    123     -0.180    12.0110   ; qtot -2.180
   124       HAL2      1    TOCL2    H8D    124      0.090     1.0080   ; qtot -2.090
   125       HAL2      1    TOCL2    H8E    125      0.090     1.0080   ; qtot -2.000
   126       CEL1      1    TOCL2    CB9    126     -0.150    12.0110   ; qtot -2.150
   127       HEL1      1    TOCL2    H9D    127      0.150     1.0080   ; qtot -2.000
   128       CEL1      1    TOCL2   CB10    128     -0.150    12.0110   ; qtot -2.150
   129       HEL1      1    TOCL2   H10D    129      0.150     1.0080   ; qtot -2.000
   130       CTL2      1    TOCL2   CB11    130     -0.180    12.0110   ; qtot -2.180
   131       HAL2      1    TOCL2   H11D    131      0.090     1.0080   ; qtot -2.090
   132       HAL2      1    TOCL2   H11E    132      0.090     1.0080   ; qtot -2.000
   133       CTL2      1    TOCL2   CB12    133     -0.180    12.0110   ; qtot -2.180
   134       HAL2      1    TOCL2   H12D    134      0.090     1.0080   ; qtot -2.090
   135       HAL2      1    TOCL2   H12E    135      0.090     1.0080   ; qtot -2.000
   136       CTL2      1    TOCL2   CB13    136     -0.180    12.0110   ; qtot -2.180
   137       HAL2      1    TOCL2   H13D    137      0.090     1.0080   ; qtot -2.090
   138       HAL2      1    TOCL2   H13E    138      0.090     1.0080   ; qtot -2.000
   139       CTL2      1    TOCL2   CB14    139     -0.180    12.0110   ; qtot -2.180
   140       HAL2      1    TOCL2   H14D    140      0.090     1.0080   ; qtot -2.090
   141       HAL2      1    TOCL2   H14E    141      0.090     1.0080   ; qtot -2.000
   142       CTL2      1    TOCL2   CB15    142     -0.180    12.0110   ; qtot -2.180
   143       HAL2      1    TOCL2   H15D    143      0.090     1.0080   ; qtot -2.090
   144       HAL2      1    TOCL2   H15E    144      0.090     1.0080   ; qtot -2.000
   145       CTL2      1    TOCL2   CB16    145     -0.180    12.0110   ; qtot -2.180
   146       HAL2      1    TOCL2   H16D    146      0.090     1.0080   ; qtot -2.090
   147       HAL2      1    TOCL2   H16E    147      0.090     1.0080   ; qtot -2.000
   148       CTL2      1    TOCL2   CB17    148     -0.180    12.0110   ; qtot -2.180
   149       HAL2      1    TOCL2   H17D    149      0.090     1.0080   ; qtot -2.090
   150       HAL2      1    TOCL2   H17E    150      0.090     1.0080   ; qtot -2.000
   151       CTL3      1    TOCL2   CB18    151     -0.270    12.0110   ; qtot -2.270
   152       HAL3      1    TOCL2   H18D    152      0.090     1.0080   ; qtot -2.180
   153       HAL3      1    TOCL2   H18E    153      0.090     1.0080   ; qtot -2.090
   154       HAL3      1    TOCL2   H18F    154      0.090     1.0080   ; qtot -2.000
   155       CTL2      1    TOCL2    CC3    155     -0.180    12.0110   ; qtot -2.180
   156       HAL2      1    TOCL2    H3R    156      0.090     1.0080   ; qtot -2.090
